COMMUNITY_AREA,RACE,AGE,SEX,Count
AUBURN GRESHAM,UNKNOWN,30-39,F,1
AUBURN GRESHAM,UNKNOWN,30-39,M,2
AUBURN GRESHAM,UNKNOWN,40-49,M,1
AUBURN GRESHAM,UNKNOWN,UNKNOWN,UNKNOWN,19
AUBURN GRESHAM,WBH,0-19,M,2
AUBURN GRESHAM,WBH,20-29,M,1
AUBURN GRESHAM,WHI,20-29,M,2
AUBURN GRESHAM,WHI,30-39,M,4
AUBURN GRESHAM,WHI,40-49,M,2
AUBURN GRESHAM,WHI,60-69,M,1
AUBURN GRESHAM,WWH,0-19,M,2
AUBURN GRESHAM,WWH,20-29,M,7
AUBURN GRESHAM,WWH,30-39,F,1
AUBURN GRESHAM,WWH,30-39,M,5
AUBURN GRESHAM,WWH,40-49,M,2
AUSTIN,API,0-19,M,1
AUSTIN,API,20-29,M,4
AUSTIN,API,30-39,M,2
AUSTIN,API,40-49,M,1
AUSTIN,API,50-59,M,2
AUSTIN,BLK,0-19,F,97
AUSTIN,BLK,0-19,M,696
AUSTIN,BLK,20-29,F,185
AUSTIN,BLK,20-29,M,1480
AUSTIN,BLK,20-29,UNKNOWN,1
AUSTIN,BLK,30-39,F,64
AUSTIN,BLK,30-39,M,738
AUSTIN,BLK,30-39,UNKNOWN,2
AUSTIN,BLK,40-49,F,37
AUSTIN,BLK,40-49,M,222
AUSTIN,BLK,50-59,F,22
AUSTIN,BLK,50-59,M,106
AUSTIN,BLK,60-69,F,5
AUSTIN,BLK,60-69,M,24
AUSTIN,BLK,70-79,M,8
AUSTIN,BLK,80+,M,2
AUSTIN,BLK,UNKNOWN,F,1
AUSTIN,BLK,UNKNOWN,M,2
AUSTIN,UNKNOWN,0-19,F,3
AUSTIN,UNKNOWN,0-19,M,2
AUSTIN,UNKNOWN,0-19,UNKNOWN,2
AUSTIN,UNKNOWN,20-29,F,3
AUSTIN,UNKNOWN,20-29,M,7
AUSTIN,UNKNOWN,20-29,UNKNOWN,2
AUSTIN,UNKNOWN,30-39,F,1
AUSTIN,UNKNOWN,30-39,M,7
AUSTIN,UNKNOWN,UNKNOWN,UNKNOWN,45
AUSTIN,WBH,0-19,F,1
AUSTIN,WBH,0-19,M,1
AUSTIN,WBH,20-29,F,1
AUSTIN,WBH,20-29,M,4
AUSTIN,WBH,30-39,M,3
AUSTIN,WBH,70-79,F,1
AUSTIN,WHI,0-19,M,3
AUSTIN,WHI,20-29,F,2
AUSTIN,WHI,20-29,M,8
AUSTIN,WHI,30-39,F,1
AUSTIN,WHI,30-39,M,8
AUSTIN,WHI,40-49,F,2
AUSTIN,WHI,40-49,M,5
AUSTIN,WHI,50-59,M,3
AUSTIN,WHI,60-69,M,3
AUSTIN,WHI,UNKNOWN,M,1
AUSTIN,WWH,0-19,F,4
AUSTIN,WWH,0-19,M,21
AUSTIN,WWH,20-29,F,17
AUSTIN,WWH,20-29,M,56
AUSTIN,WWH,30-39,F,9
AUSTIN,WWH,30-39,M,35
AUSTIN,WWH,40-49,F,2
AUSTIN,WWH,40-49,M,16
AUSTIN,WWH,50-59,F,1
AUSTIN,WWH,50-59,M,6
AUSTIN,WWH,60-69,M,1
AUSTIN,WWH,UNKNOWN,F,1
AUSTIN,WWH,UNKNOWN,M,1
AVALON PARK,BLK,0-19,F,11
AVALON PARK,BLK,0-19,M,56
AVALON PARK,BLK,20-29,F,16
AVALON PARK,BLK,20-29,M,84
AVALON PARK,BLK,30-39,F,7
AVALON PARK,BLK,30-39,M,45
AVALON PARK,BLK,40-49,F,2
AVALON PARK,BLK,40-49,M,11
AVALON PARK,BLK,50-59,F,4
AVALON PARK,BLK,50-59,M,8
