COMMUNITY_AREA,RACE,AGE,SEX,Count,TOTAL_VICTIMS_BY_GROUP
AUBURN GRESHAM,BLK,60-69,M,16,315
AUBURN GRESHAM,BLK,70-79,F,1,23
AUBURN GRESHAM,BLK,70-79,M,1,68
AUBURN GRESHAM,BLK,80+,F,2,14
AUBURN GRESHAM,BLK,80+,M,1,21
AUBURN GRESHAM,I,30-39,F,1,1
AUBURN GRESHAM,I,40-49,M,1,2
AUBURN GRESHAM,UNKNOWN,0-19,F,1,19
AUBURN GRESHAM,UNKNOWN,0-19,M,1,74
AUBURN GRESHAM,UNKNOWN,0-19,UNKNOWN,1,19
AUBURN GRESHAM,UNKNOWN,20-29,F,1,29
AUBURN GRESHAM,UNKNOWN,20-29,M,5,131
AUBURN GRESHAM,UNKNOWN,30-39,F,1,16
AUBURN GRESHAM,UNKNOWN,30-39,M,2,63
AUBURN GRESHAM,UNKNOWN,40-49,M,1,20
AUBURN GRESHAM,UNKNOWN,UNKNOWN,UNKNOWN,19,593
AUBURN GRESHAM,WBH,0-19,M,2,54
AUBURN GRESHAM,WBH,20-29,M,1,128
AUBURN GRESHAM,WHI,20-29,M,2,340
AUBURN GRESHAM,WHI,30-39,M,4,239
AUBURN GRESHAM,WHI,40-49,M,2,122
AUBURN GRESHAM,WHI,60-69,M,1,45
AUBURN GRESHAM,WWH,0-19,M,2,1716
AUBURN GRESHAM,WWH,20-29,M,7,2923
AUBURN GRESHAM,WWH,30-39,F,1,165
AUBURN GRESHAM,WWH,30-39,M,5,1262
AUBURN GRESHAM,WWH,40-49,M,2,463
AUSTIN,API,0-19,M,1,10
AUSTIN,API,20-29,M,4,67
AUSTIN,API,30-39,M,2,36
AUSTIN,API,40-49,M,1,16
AUSTIN,API,50-59,M,2,19
AUSTIN,BLK,0-19,F,97,999
AUSTIN,BLK,0-19,M,696,7161
AUSTIN,BLK,20-29,F,185,1776
AUSTIN,BLK,20-29,M,1480,13644
AUSTIN,BLK,20-29,UNKNOWN,1,10
AUSTIN,BLK,30-39,F,64,862
AUSTIN,BLK,30-39,M,738,6563
AUSTIN,BLK,30-39,UNKNOWN,2,7
AUSTIN,BLK,40-49,F,37,403
AUSTIN,BLK,40-49,M,222,2335
AUSTIN,BLK,50-59,F,22,230
AUSTIN,BLK,50-59,M,106,1034
AUSTIN,BLK,60-69,F,5,91
AUSTIN,BLK,60-69,M,24,315
AUSTIN,BLK,70-79,M,8,68
AUSTIN,BLK,80+,M,2,21
AUSTIN,BLK,UNKNOWN,F,1,12
AUSTIN,BLK,UNKNOWN,M,2,47
AUSTIN,UNKNOWN,0-19,F,3,19
AUSTIN,UNKNOWN,0-19,M,2,74
AUSTIN,UNKNOWN,0-19,UNKNOWN,2,19
AUSTIN,UNKNOWN,20-29,F,3,29
AUSTIN,UNKNOWN,20-29,M,7,131
AUSTIN,UNKNOWN,20-29,UNKNOWN,2,21
AUSTIN,UNKNOWN,30-39,F,1,16
AUSTIN,UNKNOWN,30-39,M,7,63
AUSTIN,UNKNOWN,UNKNOWN,UNKNOWN,45,593
AUSTIN,WBH,0-19,F,1,10
AUSTIN,WBH,0-19,M,1,54
AUSTIN,WBH,20-29,F,1,20
AUSTIN,WBH,20-29,M,4,128
AUSTIN,WBH,30-39,M,3,64
AUSTIN,WBH,70-79,F,1,1
AUSTIN,WHI,0-19,M,3,108
AUSTIN,WHI,20-29,F,2,73
AUSTIN,WHI,20-29,M,8,340
AUSTIN,WHI,30-39,F,1,48
AUSTIN,WHI,30-39,M,8,239
AUSTIN,WHI,40-49,F,2,26
AUSTIN,WHI,40-49,M,5,122
AUSTIN,WHI,50-59,M,3,88
AUSTIN,WHI,60-69,M,3,45
AUSTIN,WHI,UNKNOWN,M,1,10
AUSTIN,WWH,0-19,F,4,232
AUSTIN,WWH,0-19,M,21,1716
AUSTIN,WWH,20-29,F,17,381
AUSTIN,WWH,20-29,M,56,2923
AUSTIN,WWH,30-39,F,9,165
AUSTIN,WWH,30-39,M,35,1262
AUSTIN,WWH,40-49,F,2,65
AUSTIN,WWH,40-49,M,16,463
AUSTIN,WWH,50-59,F,1,27
AUSTIN,WWH,50-59,M,6,161
AUSTIN,WWH,60-69,M,1,59
AUSTIN,WWH,UNKNOWN,F,1,5
AUSTIN,WWH,UNKNOWN,M,1,10
AVALON PARK,BLK,0-19,F,11,999
AVALON PARK,BLK,0-19,M,56,7161
AVALON PARK,BLK,20-29,F,16,1776
AVALON PARK,BLK,20-29,M,84,13644
AVALON PARK,BLK,30-39,F,7,862
AVALON PARK,BLK,30-39,M,45,6563
AVALON PARK,BLK,40-49,F,2,403
AVALON PARK,BLK,40-49,M,11,2335
AVALON PARK,BLK,50-59,F,4,230
AVALON PARK,BLK,50-59,M,8,1034
AVALON PARK,BLK,60-69,F,2,91
AVALON PARK,BLK,60-69,M,3,315
AVALON PARK,BLK,70-79,F,1,23
AVALON PARK,I,0-19,M,1,3
AVALON PARK,UNKNOWN,UNKNOWN,UNKNOWN,3,593
AVALON PARK,WHI,30-39,M,2,239
AVALON PARK,WHI,50-59,M,1,88
AVALON PARK,WWH,20-29,M,1,2923
AVALON PARK,WWH,30-39,M,1,1262
AVALON PARK,WWH,40-49,F,1,65
AVONDALE,API,20-29,M,1,67
AVONDALE,API,30-39,M,1,36
AVONDALE,API,40-49,M,1,16
AVONDALE,BLK,0-19,M,5,7161
AVONDALE,BLK,20-29,M,9,13644
AVONDALE,BLK,30-39,F,1,862
AVONDALE,BLK,30-39,M,5,6563
AVONDALE,BLK,40-49,M,2,2335
AVONDALE,UNKNOWN,20-29,M,2,131
AVONDALE,UNKNOWN,30-39,M,2,63
AVONDALE,UNKNOWN,UNKNOWN,UNKNOWN,5,593
AVONDALE,WBH,20-29,M,4,128
AVONDALE,WHI,0-19,F,1,30
AVONDALE,WHI,0-19,M,3,108
