COMMUNITY_AREA,RACE,AGE,SEX,Count,TOTAL_VICTIMS_BY_GROUP
DUNNING,WWH,20-29,M,12,2923
DUNNING,WWH,30-39,F,1,165
DUNNING,WWH,30-39,M,6,1262
DUNNING,WWH,40-49,M,4,463
DUNNING,WWH,50-59,M,1,161
EAST GARFIELD PARK,API,30-39,M,1,36
EAST GARFIELD PARK,API,50-59,M,1,19
EAST GARFIELD PARK,BLK,0-19,F,35,999
EAST GARFIELD PARK,BLK,0-19,M,242,7161
EAST GARFIELD PARK,BLK,20-29,F,56,1776
EAST GARFIELD PARK,BLK,20-29,M,568,13644
EAST GARFIELD PARK,BLK,30-39,F,35,862
EAST GARFIELD PARK,BLK,30-39,M,309,6563
EAST GARFIELD PARK,BLK,40-49,F,20,403
EAST GARFIELD PARK,BLK,40-49,M,121,2335
EAST GARFIELD PARK,BLK,50-59,F,6,230
EAST GARFIELD PARK,BLK,50-59,M,45,1034
EAST GARFIELD PARK,BLK,50-59,UNKNOWN,1,2
EAST GARFIELD PARK,BLK,60-69,F,4,91
EAST GARFIELD PARK,BLK,60-69,M,9,315
EAST GARFIELD PARK,BLK,70-79,F,2,23
EAST GARFIELD PARK,BLK,UNKNOWN,F,1,12
EAST GARFIELD PARK,BLK,UNKNOWN,M,2,47
EAST GARFIELD PARK,UNKNOWN,0-19,M,2,74
EAST GARFIELD PARK,UNKNOWN,20-29,F,3,29
EAST GARFIELD PARK,UNKNOWN,20-29,M,3,131
EAST GARFIELD PARK,UNKNOWN,30-39,F,4,16
EAST GARFIELD PARK,UNKNOWN,30-39,M,4,63
EAST GARFIELD PARK,UNKNOWN,40-49,M,1,20
EAST GARFIELD PARK,UNKNOWN,UNKNOWN,M,2,4
EAST GARFIELD PARK,UNKNOWN,UNKNOWN,UNKNOWN,20,593
EAST GARFIELD PARK,WBH,20-29,M,2,128
EAST GARFIELD PARK,WBH,30-39,M,1,64
EAST GARFIELD PARK,WBH,40-49,F,1,6
EAST GARFIELD PARK,WBH,60-69,M,1,1
EAST GARFIELD PARK,WHI,0-19,F,1,30
EAST GARFIELD PARK,WHI,20-29,M,3,340
EAST GARFIELD PARK,WHI,30-39,M,5,239
EAST GARFIELD PARK,WHI,50-59,M,2,88
EAST GARFIELD PARK,WHI,UNKNOWN,M,2,10
EAST GARFIELD PARK,WWH,0-19,F,2,232
EAST GARFIELD PARK,WWH,0-19,M,2,1716
EAST GARFIELD PARK,WWH,20-29,F,1,381
EAST GARFIELD PARK,WWH,20-29,M,9,2923
EAST GARFIELD PARK,WWH,30-39,F,2,165
EAST GARFIELD PARK,WWH,30-39,M,7,1262
EAST GARFIELD PARK,WWH,40-49,M,5,463
EAST GARFIELD PARK,WWH,50-59,M,1,161
EAST SIDE,BLK,0-19,M,8,7161
EAST SIDE,BLK,20-29,F,1,1776
EAST SIDE,BLK,20-29,M,8,13644
EAST SIDE,BLK,30-39,M,1,6563
EAST SIDE,BLK,60-69,M,1,315
EAST SIDE,UNKNOWN,30-39,M,1,63
EAST SIDE,UNKNOWN,UNKNOWN,UNKNOWN,4,593
EAST SIDE,WBH,0-19,M,1,54
EAST SIDE,WBH,20-29,M,2,128
EAST SIDE,WBH,30-39,M,1,64
EAST SIDE,WHI,20-29,M,5,340
EAST SIDE,WHI,40-49,M,1,122
EAST SIDE,WHI,50-59,F,1,16
EAST SIDE,WHI,50-59,M,1,88
EAST SIDE,WHI,70-79,M,1,8
EAST SIDE,WWH,0-19,F,2,232
EAST SIDE,WWH,0-19,M,40,1716
EAST SIDE,WWH,20-29,F,5,381
EAST SIDE,WWH,20-29,M,56,2923
EAST SIDE,WWH,30-39,F,2,165
EAST SIDE,WWH,30-39,M,21,1262
EAST SIDE,WWH,40-49,M,7,463
EAST SIDE,WWH,50-59,M,3,161
EAST SIDE,WWH,60-69,M,2,59
EDGEWATER,BLK,0-19,F,2,999
EDGEWATER,BLK,0-19,M,11,7161
EDGEWATER,BLK,20-29,F,3,1776
EDGEWATER,BLK,20-29,M,31,13644
EDGEWATER,BLK,30-39,M,18,6563
EDGEWATER,BLK,40-49,F,1,403
EDGEWATER,BLK,40-49,M,8,2335
EDGEWATER,BLK,50-59,F,2,230
EDGEWATER,BLK,50-59,M,4,1034
EDGEWATER,BLK,60-69,M,2,315
EDGEWATER,UNKNOWN,30-39,M,1,63
EDGEWATER,UNKNOWN,UNKNOWN,UNKNOWN,1,593
EDGEWATER,WBH,0-19,M,1,54
EDGEWATER,WBH,30-39,M,1,64
EDGEWATER,WHI,30-39,M,4,239
EDGEWATER,WHI,40-49,M,1,122
EDGEWATER,WHI,50-59,M,2,88
EDGEWATER,WHI,60-69,M,1,45
EDGEWATER,WHI,70-79,F,1,6
EDGEWATER,WWH,0-19,F,1,232
EDGEWATER,WWH,0-19,M,5,1716
EDGEWATER,WWH,20-29,M,5,2923
EDGEWATER,WWH,30-39,M,5,1262
EDGEWATER,WWH,50-59,F,1,27
EDGEWATER,WWH,70-79,F,1,4
EDISON PARK,WHI,70-79,F,1,6
EDISON PARK,WWH,40-49,M,1,463
ENGLEWOOD,API,30-39,M,3,36
ENGLEWOOD,API,40-49,M,2,16
ENGLEWOOD,API,50-59,F,1,2
ENGLEWOOD,API,50-59,M,1,19
ENGLEWOOD,API,70-79,M,1,4
ENGLEWOOD,BLK,0-19,F,56,999
ENGLEWOOD,BLK,0-19,M,389,7161
ENGLEWOOD,BLK,20-29,F,86,1776
ENGLEWOOD,BLK,20-29,M,771,13644
ENGLEWOOD,BLK,30-39,F,49,862
ENGLEWOOD,BLK,30-39,M,350,6563
ENGLEWOOD,BLK,40-49,F,17,403
ENGLEWOOD,BLK,40-49,M,142,2335
ENGLEWOOD,BLK,50-59,F,6,230
ENGLEWOOD,BLK,50-59,M,61,1034
ENGLEWOOD,BLK,60-69,F,4,91
ENGLEWOOD,BLK,60-69,M,24,315
ENGLEWOOD,BLK,70-79,F,2,23
ENGLEWOOD,BLK,70-79,M,7,68
ENGLEWOOD,BLK,80+,F,1,14
ENGLEWOOD,BLK,80+,M,2,21
ENGLEWOOD,BLK,UNKNOWN,M,1,47
ENGLEWOOD,UNKNOWN,0-19,M,1,74
ENGLEWOOD,UNKNOWN,20-29,F,1,29
ENGLEWOOD,UNKNOWN,20-29,M,4,131
ENGLEWOOD,UNKNOWN,40-49,M,1,20
ENGLEWOOD,UNKNOWN,40-49,UNKNOWN,2,6
ENGLEWOOD,UNKNOWN,50-59,M,1,8
ENGLEWOOD,UNKNOWN,UNKNOWN,UNKNOWN,10,593
ENGLEWOOD,WBH,0-19,F,1,10
ENGLEWOOD,WBH,20-29,M,3,128
ENGLEWOOD,WBH,30-39,M,1,64
ENGLEWOOD,WHI,20-29,F,1,73
ENGLEWOOD,WHI,20-29,M,1,340
ENGLEWOOD,WHI,30-39,M,1,239
ENGLEWOOD,WHI,40-49,M,1,122
ENGLEWOOD,WHI,50-59,M,1,88
ENGLEWOOD,WHI,60-69,M,1,45
ENGLEWOOD,WWH,0-19,F,2,232
ENGLEWOOD,WWH,0-19,M,3,1716
ENGLEWOOD,WWH,20-29,M,7,2923
ENGLEWOOD,WWH,30-39,M,4,1262
ENGLEWOOD,WWH,40-49,F,1,65
ENGLEWOOD,WWH,40-49,M,1,463
ENGLEWOOD,WWH,50-59,M,1,161
ENGLEWOOD,WWH,UNKNOWN,M,1,10
FOREST GLEN,API,20-29,M,1,67
FOREST GLEN,BLK,20-29,M,1,13644
FOREST GLEN,BLK,40-49,M,1,2335
FOREST GLEN,WHI,0-19,M,1,108
FOREST GLEN,WHI,20-29,M,1,340
FOREST GLEN,WHI,30-39,M,1,239
FOREST GLEN,WHI,50-59,M,1,88
FOREST GLEN,WHI,60-69,M,1,45
FOREST GLEN,WWH,20-29,M,1,2923
FOREST GLEN,WWH,30-39,M,1,1262
FULLER PARK,BLK,0-19,F,6,999
FULLER PARK,BLK,0-19,M,42,7161
FULLER PARK,BLK,20-29,F,15,1776
FULLER PARK,BLK,20-29,M,81,13644
FULLER PARK,BLK,30-39,F,9,862
FULLER PARK,BLK,30-39,M,53,6563
FULLER PARK,BLK,40-49,F,2,403
FULLER PARK,BLK,40-49,M,19,2335
FULLER PARK,BLK,50-59,M,8,1034
FULLER PARK,BLK,60-69,F,1,91
FULLER PARK,BLK,60-69,M,1,315
FULLER PARK,UNKNOWN,20-29,M,1,131
FULLER PARK,UNKNOWN,60-69,M,1,2
FULLER PARK,UNKNOWN,UNKNOWN,UNKNOWN,4,593
FULLER PARK,WBH,20-29,M,2,128
FULLER PARK,WHI,0-19,F,1,30
FULLER PARK,WHI,0-19,M,1,108
FULLER PARK,WHI,30-39,M,1,239
FULLER PARK,WHI,40-49,M,1,122
FULLER PARK,WHI,60-69,M,1,45
FULLER PARK,WWH,0-19,M,1,1716
FULLER PARK,WWH,20-29,M,8,2923
FULLER PARK,WWH,30-39,M,2,1262
FULLER PARK,WWH,UNKNOWN,M,1,10
GAGE PARK,BLK,0-19,F,2,999
GAGE PARK,BLK,0-19,M,22,7161
GAGE PARK,BLK,20-29,M,23,13644
GAGE PARK,BLK,30-39,M,10,6563
GAGE PARK,BLK,40-49,F,1,403
GAGE PARK,BLK,40-49,M,4,2335
GAGE PARK,BLK,50-59,M,2,1034
GAGE PARK,BLK,UNKNOWN,M,1,47
GAGE PARK,UNKNOWN,0-19,M,1,74
GAGE PARK,UNKNOWN,20-29,M,1,131
GAGE PARK,UNKNOWN,UNKNOWN,UNKNOWN,8,593
GAGE PARK,WBH,20-29,F,1,20
GAGE PARK,WBH,30-39,M,2,64
GAGE PARK,WBH,40-49,F,1,6
GAGE PARK,WHI,0-19,M,2,108
GAGE PARK,WHI,20-29,M,4,340
GAGE PARK,WHI,30-39,F,2,48
GAGE PARK,WHI,30-39,M,7,239
GAGE PARK,WHI,40-49,M,2,122
GAGE PARK,WHI,50-59,M,1,88
GAGE PARK,WHI,60-69,M,3,45
GAGE PARK,WWH,0-19,F,10,232
GAGE PARK,WWH,0-19,M,107,1716
GAGE PARK,WWH,20-29,F,15,381
GAGE PARK,WWH,20-29,M,152,2923
GAGE PARK,WWH,30-39,F,5,165
GAGE PARK,WWH,30-39,M,63,1262
GAGE PARK,WWH,40-49,F,2,65
GAGE PARK,WWH,40-49,M,18,463
GAGE PARK,WWH,50-59,F,2,27
GAGE PARK,WWH,50-59,M,4,161
GAGE PARK,WWH,60-69,M,1,59
GAGE PARK,WWH,70-79,F,1,4
GAGE PARK,WWH,70-79,M,1,13
GARFIELD RIDGE,BLK,0-19,F,1,999
GARFIELD RIDGE,BLK,0-19,M,2,7161
GARFIELD RIDGE,BLK,20-29,F,4,1776
GARFIELD RIDGE,BLK,20-29,M,23,13644
GARFIELD RIDGE,BLK,30-39,F,2,862
GARFIELD RIDGE,BLK,30-39,M,8,6563
GARFIELD RIDGE,BLK,40-49,F,1,403
GARFIELD RIDGE,BLK,40-49,M,6,2335
GARFIELD RIDGE,BLK,50-59,M,3,1034
GARFIELD RIDGE,BLK,60-69,F,1,91
GARFIELD RIDGE,BLK,60-69,M,1,315
GARFIELD RIDGE,UNKNOWN,20-29,M,1,131
GARFIELD RIDGE,UNKNOWN,UNKNOWN,UNKNOWN,3,593
GARFIELD RIDGE,WHI,20-29,M,1,340
GARFIELD RIDGE,WHI,30-39,M,2,239
GARFIELD RIDGE,WHI,40-49,F,1,26
GARFIELD RIDGE,WHI,50-59,M,1,88
GARFIELD RIDGE,WHI,60-69,M,1,45
GARFIELD RIDGE,WHI,70-79,F,1,6
GARFIELD RIDGE,WWH,0-19,M,12,1716
GARFIELD RIDGE,WWH,20-29,M,18,2923
GARFIELD RIDGE,WWH,30-39,F,2,165
GARFIELD RIDGE,WWH,30-39,M,9,1262
GARFIELD RIDGE,WWH,40-49,M,3,463
GARFIELD RIDGE,WWH,50-59,F,2,27
GARFIELD RIDGE,WWH,60-69,M,1,59
GRAND BOULEVARD,API,30-39,M,1,36
GRAND BOULEVARD,BLK,0-19,F,14,999
GRAND BOULEVARD,BLK,0-19,M,147,7161
GRAND BOULEVARD,BLK,20-29,F,22,1776
GRAND BOULEVARD,BLK,20-29,M,239,13644
GRAND BOULEVARD,BLK,20-29,UNKNOWN,2,10
GRAND BOULEVARD,BLK,30-39,F,12,862
GRAND BOULEVARD,BLK,30-39,M,110,6563
GRAND BOULEVARD,BLK,40-49,F,10,403
GRAND BOULEVARD,BLK,40-49,M,48,2335
GRAND BOULEVARD,BLK,50-59,F,5,230
GRAND BOULEVARD,BLK,50-59,M,19,1034
GRAND BOULEVARD,BLK,60-69,F,2,91
GRAND BOULEVARD,BLK,60-69,M,9,315
GRAND BOULEVARD,BLK,70-79,F,1,23
GRAND BOULEVARD,BLK,70-79,M,1,68
GRAND BOULEVARD,I,20-29,F,1,4
GRAND BOULEVARD,UNKNOWN,0-19,M,3,74
GRAND BOULEVARD,UNKNOWN,0-19,UNKNOWN,1,19
GRAND BOULEVARD,UNKNOWN,20-29,M,4,131
GRAND BOULEVARD,UNKNOWN,30-39,M,1,63
GRAND BOULEVARD,UNKNOWN,UNKNOWN,UNKNOWN,8,593
GRAND BOULEVARD,WBH,30-39,M,2,64
GRAND BOULEVARD,WHI,20-29,F,1,73
GRAND BOULEVARD,WHI,20-29,M,2,340
GRAND BOULEVARD,WHI,30-39,M,1,239
GRAND BOULEVARD,WWH,20-29,F,1,381
GRAND BOULEVARD,WWH,20-29,M,3,2923
GRAND BOULEVARD,WWH,30-39,M,1,1262
GRAND BOULEVARD,WWH,40-49,F,1,65
GRAND BOULEVARD,WWH,40-49,M,1,463
GREATER GRAND CROSSING,API,20-29,M,4,67
GREATER GRAND CROSSING,API,30-39,F,1,3
GREATER GRAND CROSSING,API,40-49,M,2,16
GREATER GRAND CROSSING,API,50-59,M,1,19
GREATER GRAND CROSSING,API,70-79,M,1,4
GREATER GRAND CROSSING,BLK,0-19,F,52,999
GREATER GRAND CROSSING,BLK,0-19,M,288,7161
GREATER GRAND CROSSING,BLK,20-29,F,103,1776
GREATER GRAND CROSSING,BLK,20-29,M,670,13644
GREATER GRAND CROSSING,BLK,30-39,F,50,862
GREATER GRAND CROSSING,BLK,30-39,M,342,6563
GREATER GRAND CROSSING,BLK,40-49,F,23,403
GREATER GRAND CROSSING,BLK,40-49,M,135,2335
GREATER GRAND CROSSING,BLK,50-59,F,16,230
GREATER GRAND CROSSING,BLK,50-59,M,61,1034
GREATER GRAND CROSSING,BLK,60-69,F,3,91
GREATER GRAND CROSSING,BLK,60-69,M,17,315
GREATER GRAND CROSSING,BLK,70-79,M,3,68
GREATER GRAND CROSSING,BLK,80+,F,1,14
GREATER GRAND CROSSING,BLK,UNKNOWN,F,1,12
GREATER GRAND CROSSING,BLK,UNKNOWN,M,1,47
GREATER GRAND CROSSING,UNKNOWN,0-19,F,3,19
GREATER GRAND CROSSING,UNKNOWN,0-19,M,2,74
GREATER GRAND CROSSING,UNKNOWN,0-19,UNKNOWN,2,19
GREATER GRAND CROSSING,UNKNOWN,20-29,F,1,29
GREATER GRAND CROSSING,UNKNOWN,20-29,M,2,131
GREATER GRAND CROSSING,UNKNOWN,20-29,UNKNOWN,1,21
GREATER GRAND CROSSING,UNKNOWN,30-39,F,2,16
GREATER GRAND CROSSING,UNKNOWN,30-39,M,4,63
GREATER GRAND CROSSING,UNKNOWN,30-39,UNKNOWN,1,5
GREATER GRAND CROSSING,UNKNOWN,40-49,M,2,20
GREATER GRAND CROSSING,UNKNOWN,40-49,UNKNOWN,1,6
GREATER GRAND CROSSING,UNKNOWN,UNKNOWN,UNKNOWN,14,593
GREATER GRAND CROSSING,WBH,20-29,M,3,128
GREATER GRAND CROSSING,WBH,30-39,F,1,9
GREATER GRAND CROSSING,WHI,20-29,M,3,340
GREATER GRAND CROSSING,WHI,30-39,M,2,239
GREATER GRAND CROSSING,WHI,40-49,M,3,122
GREATER GRAND CROSSING,WHI,50-59,M,1,88
GREATER GRAND CROSSING,WHI,60-69,M,2,45
GREATER GRAND CROSSING,WWH,0-19,M,2,1716
GREATER GRAND CROSSING,WWH,20-29,F,2,381
GREATER GRAND CROSSING,WWH,20-29,M,5,2923
GREATER GRAND CROSSING,WWH,30-39,M,3,1262
GREATER GRAND CROSSING,WWH,40-49,M,1,463
GREATER GRAND CROSSING,WWH,50-59,F,1,27
GREATER GRAND CROSSING,WWH,50-59,M,1,161
GREATER GRAND CROSSING,WWH,70-79,M,1,13
HEGEWISCH,BLK,20-29,M,6,13644
HEGEWISCH,BLK,30-39,M,4,6563
HEGEWISCH,BLK,40-49,UNKNOWN,1,5
HEGEWISCH,UNKNOWN,20-29,M,1,131
HEGEWISCH,UNKNOWN,UNKNOWN,UNKNOWN,1,593
HEGEWISCH,WHI,0-19,F,1,30
HEGEWISCH,WHI,20-29,F,1,73
HEGEWISCH,WHI,40-49,M,1,122
HEGEWISCH,WHI,50-59,F,1,16
HEGEWISCH,WHI,50-59,M,3,88
HEGEWISCH,WHI,70-79,F,1,6
HEGEWISCH,WHI,70-79,M,1,8
HEGEWISCH,WWH,0-19,M,3,1716
HEGEWISCH,WWH,20-29,F,1,381
HEGEWISCH,WWH,20-29,M,6,2923
HEGEWISCH,WWH,30-39,F,1,165
HEGEWISCH,WWH,30-39,M,4,1262
HEGEWISCH,WWH,40-49,F,1,65
HEGEWISCH,WWH,40-49,M,1,463
HERMOSA,API,20-29,M,2,67
HERMOSA,BLK,0-19,F,1,999
HERMOSA,BLK,0-19,M,6,7161
HERMOSA,BLK,20-29,F,1,1776
HERMOSA,BLK,20-29,M,9,13644
HERMOSA,BLK,30-39,M,8,6563
HERMOSA,UNKNOWN,0-19,F,1,19
HERMOSA,UNKNOWN,20-29,F,1,29
HERMOSA,UNKNOWN,20-29,M,2,131
HERMOSA,UNKNOWN,UNKNOWN,UNKNOWN,5,593
HERMOSA,WBH,0-19,F,1,10
HERMOSA,WBH,0-19,M,1,54
HERMOSA,WBH,20-29,F,1,20
HERMOSA,WBH,20-29,M,3,128
HERMOSA,WBH,30-39,M,3,64
HERMOSA,WHI,0-19,M,1,108
HERMOSA,WHI,20-29,M,4,340
HERMOSA,WHI,30-39,M,3,239
HERMOSA,WWH,0-19,F,9,232
HERMOSA,WWH,0-19,M,40,1716
HERMOSA,WWH,20-29,F,8,381
HERMOSA,WWH,20-29,M,61,2923
HERMOSA,WWH,30-39,M,23,1262
HERMOSA,WWH,40-49,M,10,463
HERMOSA,WWH,50-59,F,1,27
HERMOSA,WWH,50-59,M,4,161
HERMOSA,WWH,60-69,M,2,59
HERMOSA,WWH,70-79,M,1,13
HUMBOLDT PARK,API,0-19,M,1,10
HUMBOLDT PARK,API,20-29,M,2,67
HUMBOLDT PARK,API,30-39,M,2,36
HUMBOLDT PARK,API,50-59,M,1,19
HUMBOLDT PARK,BLK,0-19,F,27,999
HUMBOLDT PARK,BLK,0-19,M,259,7161
HUMBOLDT PARK,BLK,20-29,F,67,1776
HUMBOLDT PARK,BLK,20-29,M,578,13644
HUMBOLDT PARK,BLK,30-39,F,27,862
HUMBOLDT PARK,BLK,30-39,M,301,6563
HUMBOLDT PARK,BLK,40-49,F,8,403
HUMBOLDT PARK,BLK,40-49,M,91,2335
HUMBOLDT PARK,BLK,50-59,F,6,230
HUMBOLDT PARK,BLK,50-59,M,29,1034
HUMBOLDT PARK,BLK,60-69,F,1,91
HUMBOLDT PARK,BLK,60-69,M,11,315
HUMBOLDT PARK,BLK,70-79,F,2,23
HUMBOLDT PARK,BLK,70-79,M,4,68
HUMBOLDT PARK,BLK,UNKNOWN,M,2,47
HUMBOLDT PARK,UNKNOWN,0-19,F,1,19
HUMBOLDT PARK,UNKNOWN,0-19,M,5,74
HUMBOLDT PARK,UNKNOWN,0-19,UNKNOWN,1,19
HUMBOLDT PARK,UNKNOWN,20-29,F,1,29
HUMBOLDT PARK,UNKNOWN,20-29,M,7,131
HUMBOLDT PARK,UNKNOWN,20-29,UNKNOWN,3,21
HUMBOLDT PARK,UNKNOWN,30-39,F,1,16
HUMBOLDT PARK,UNKNOWN,30-39,M,8,63
HUMBOLDT PARK,UNKNOWN,40-49,M,1,20
HUMBOLDT PARK,UNKNOWN,UNKNOWN,UNKNOWN,31,593
HUMBOLDT PARK,WBH,0-19,M,12,54
HUMBOLDT PARK,WBH,20-29,F,2,20
HUMBOLDT PARK,WBH,20-29,M,12,128
HUMBOLDT PARK,WBH,30-39,M,8,64
HUMBOLDT PARK,WBH,40-49,F,1,6
HUMBOLDT PARK,WBH,40-49,M,4,15
HUMBOLDT PARK,WHI,0-19,F,1,30
HUMBOLDT PARK,WHI,0-19,M,1,108
HUMBOLDT PARK,WHI,20-29,F,1,73
HUMBOLDT PARK,WHI,20-29,M,10,340
HUMBOLDT PARK,WHI,30-39,F,5,48
HUMBOLDT PARK,WHI,30-39,M,20,239
HUMBOLDT PARK,WHI,40-49,F,3,26
HUMBOLDT PARK,WHI,40-49,M,5,122
HUMBOLDT PARK,WHI,50-59,F,1,16
HUMBOLDT PARK,WHI,50-59,M,2,88
HUMBOLDT PARK,WHI,60-69,M,1,45
HUMBOLDT PARK,WWH,0-19,F,24,232
HUMBOLDT PARK,WWH,0-19,M,112,1716
HUMBOLDT PARK,WWH,20-29,F,37,381
HUMBOLDT PARK,WWH,20-29,M,193,2923
HUMBOLDT PARK,WWH,30-39,F,16,165
HUMBOLDT PARK,WWH,30-39,M,92,1262
HUMBOLDT PARK,WWH,40-49,F,6,65
HUMBOLDT PARK,WWH,40-49,M,31,463
HUMBOLDT PARK,WWH,50-59,F,2,27
HUMBOLDT PARK,WWH,50-59,M,13,161
HUMBOLDT PARK,WWH,60-69,F,1,6
HUMBOLDT PARK,WWH,60-69,M,6,59
HUMBOLDT PARK,WWH,70-79,M,1,13
HUMBOLDT PARK,WWH,80+,M,1,2
HUMBOLDT PARK,WWH,UNKNOWN,M,2,10
HYDE PARK,API,20-29,M,1,67
HYDE PARK,BLK,0-19,F,1,999
HYDE PARK,BLK,0-19,M,18,7161
HYDE PARK,BLK,20-29,F,6,1776
HYDE PARK,BLK,20-29,M,36,13644
HYDE PARK,BLK,30-39,F,1,862
HYDE PARK,BLK,30-39,M,31,6563
HYDE PARK,BLK,40-49,M,5,2335
HYDE PARK,BLK,50-59,M,5,1034
HYDE PARK,BLK,60-69,M,1,315
HYDE PARK,BLK,70-79,M,1,68
HYDE PARK,UNKNOWN,30-39,M,1,63
HYDE PARK,UNKNOWN,UNKNOWN,UNKNOWN,1,593
HYDE PARK,WHI,50-59,M,1,88
HYDE PARK,WHI,60-69,F,1,10
HYDE PARK,WHI,60-69,M,1,45
HYDE PARK,WWH,0-19,F,1,232
HYDE PARK,WWH,20-29,F,1,381
HYDE PARK,WWH,20-29,M,1,2923
IRVING PARK,API,20-29,M,2,67
IRVING PARK,API,40-49,M,2,16
IRVING PARK,BLK,0-19,M,3,7161
IRVING PARK,BLK,20-29,F,1,1776
IRVING PARK,BLK,20-29,M,9,13644
IRVING PARK,BLK,30-39,F,2,862
IRVING PARK,BLK,30-39,M,5,6563
IRVING PARK,BLK,40-49,M,4,2335
IRVING PARK,BLK,50-59,M,2,1034
IRVING PARK,I,0-19,M,1,3
IRVING PARK,UNKNOWN,0-19,F,1,19
IRVING PARK,UNKNOWN,20-29,M,2,131
IRVING PARK,UNKNOWN,UNKNOWN,UNKNOWN,5,593
IRVING PARK,WBH,0-19,M,2,54
IRVING PARK,WBH,20-29,F,1,20
IRVING PARK,WBH,20-29,M,4,128
IRVING PARK,WBH,30-39,M,1,64
IRVING PARK,WBH,40-49,M,1,15
IRVING PARK,WHI,0-19,F,1,30
IRVING PARK,WHI,0-19,M,5,108
IRVING PARK,WHI,20-29,F,4,73
IRVING PARK,WHI,20-29,M,15,340
IRVING PARK,WHI,30-39,M,8,239
IRVING PARK,WHI,40-49,M,2,122
IRVING PARK,WHI,50-59,M,2,88
IRVING PARK,WHI,60-69,M,1,45
IRVING PARK,WWH,0-19,F,5,232
IRVING PARK,WWH,0-19,M,36,1716
IRVING PARK,WWH,20-29,F,9,381
IRVING PARK,WWH,20-29,M,55,2923
IRVING PARK,WWH,30-39,F,1,165
IRVING PARK,WWH,30-39,M,20,1262
IRVING PARK,WWH,40-49,F,1,65
IRVING PARK,WWH,40-49,M,11,463
IRVING PARK,WWH,50-59,M,4,161
IRVING PARK,WWH,60-69,M,1,59
IRVING PARK,WWH,70-79,M,1,13
JEFFERSON PARK,BLK,30-39,M,1,6563
JEFFERSON PARK,UNKNOWN,0-19,M,1,74
JEFFERSON PARK,UNKNOWN,20-29,F,1,29
JEFFERSON PARK,WHI,0-19,F,1,30
JEFFERSON PARK,WHI,0-19,M,3,108
JEFFERSON PARK,WHI,30-39,M,4,239
JEFFERSON PARK,WHI,40-49,M,2,122
JEFFERSON PARK,WHI,50-59,M,1,88
JEFFERSON PARK,WHI,80+,F,1,3
JEFFERSON PARK,WWH,0-19,M,1,1716
JEFFERSON PARK,WWH,20-29,F,3,381
JEFFERSON PARK,WWH,20-29,M,4,2923
JEFFERSON PARK,WWH,30-39,F,1,165
JEFFERSON PARK,WWH,30-39,M,2,1262
JEFFERSON PARK,WWH,50-59,M,2,161
JEFFERSON PARK,WWH,60-69,M,1,59
KENWOOD,API,30-39,M,1,36
KENWOOD,API,50-59,M,1,19
KENWOOD,BLK,0-19,F,7,999
KENWOOD,BLK,0-19,M,43,7161
KENWOOD,BLK,20-29,F,11,1776
KENWOOD,BLK,20-29,M,66,13644
KENWOOD,BLK,30-39,F,3,862
KENWOOD,BLK,30-39,M,21,6563
KENWOOD,BLK,40-49,F,1,403
KENWOOD,BLK,40-49,M,5,2335
KENWOOD,BLK,50-59,M,4,1034
KENWOOD,BLK,60-69,M,2,315
KENWOOD,BLK,70-79,F,1,23
KENWOOD,BLK,UNKNOWN,F,1,12
KENWOOD,I,60-69,M,1,2
KENWOOD,UNKNOWN,0-19,F,1,19
KENWOOD,UNKNOWN,0-19,M,2,74
KENWOOD,UNKNOWN,20-29,F,1,29
KENWOOD,UNKNOWN,40-49,M,1,20
KENWOOD,UNKNOWN,UNKNOWN,UNKNOWN,3,593
KENWOOD,WHI,0-19,M,1,108
KENWOOD,WHI,40-49,M,1,122
KENWOOD,WWH,20-29,F,1,381
LAKE VIEW,API,20-29,M,1,67
LAKE VIEW,API,30-39,M,1,36
LAKE VIEW,BLK,0-19,M,10,7161
LAKE VIEW,BLK,20-29,F,1,1776
LAKE VIEW,BLK,20-29,M,14,13644
LAKE VIEW,BLK,30-39,F,1,862
LAKE VIEW,BLK,30-39,M,10,6563
LAKE VIEW,BLK,40-49,F,2,403
LAKE VIEW,BLK,40-49,M,2,2335
LAKE VIEW,BLK,50-59,M,2,1034
LAKE VIEW,UNKNOWN,0-19,M,1,74
LAKE VIEW,UNKNOWN,80+,F,1,1
LAKE VIEW,UNKNOWN,UNKNOWN,UNKNOWN,2,593
LAKE VIEW,WBH,20-29,M,2,128
LAKE VIEW,WHI,0-19,M,2,108
LAKE VIEW,WHI,20-29,F,3,73
LAKE VIEW,WHI,20-29,M,6,340
LAKE VIEW,WHI,30-39,F,1,48
LAKE VIEW,WHI,30-39,M,3,239
LAKE VIEW,WHI,40-49,M,1,122
LAKE VIEW,WHI,50-59,M,2,88
LAKE VIEW,WHI,70-79,F,1,6
LAKE VIEW,WHI,80+,M,1,5
LAKE VIEW,WWH,0-19,M,1,1716
LAKE VIEW,WWH,20-29,F,1,381
LAKE VIEW,WWH,20-29,M,18,2923
LAKE VIEW,WWH,30-39,F,1,165
LAKE VIEW,WWH,30-39,M,5,1262
LAKE VIEW,WWH,40-49,M,1,463
LAKE VIEW,WWH,50-59,M,1,161
LINCOLN PARK,API,20-29,M,2,67
LINCOLN PARK,BLK,0-19,F,1,999
